reward,cva,seed,steps_recorded,last_step,init_mae_display,best_mae,best_step,final_mae_display,final_oracle_mae,final_minus_best,init_minus_best,reward_l1_last,reward_l2_last,reward_tt_last,reward_prior_last
l1l2,1,42,872,872,1118.18,134.05,372,259.85,258.42,125.80000000000001,984.1300000000001,-864482.12,-16999890.0,0.0,-1733.7587
l1l2,2,42,551,551,819.84,268.66,51,332.98,314.83,64.32,551.1800000000001,-723756.56,-11924082.0,0.0,-1373.2283
l1l2,5,42,602,602,783.47,208.82,102,248.36,237.84,39.54000000000002,574.6500000000001,-491198.12,-8588746.0,0.0,-652.8652
l1l2,6,42,5000,5000,851.35,32.77,4907,33.05,32.92,0.27999999999999403,818.58,-50105.28,-747586.0,0.0,-735.8622
l1l2,8,42,4064,4064,292.36,21.27,3564,23.84,23.52,2.5700000000000003,271.09000000000003,-20861.42,-334196.12,0.0,-115.3553
l1l2,10,42,539,539,802.53,248.17,39,380.07,370.32,131.9,554.36,-633448.25,-10296989.0,0.0,-1475.8787
l1l2,15,42,4847,4847,835.83,13.34,4347,14.37,14.23,1.0299999999999994,822.49,-11433.27,-179806.17,0.0,-778.3699
l1l2,16,42,5000,5000,849.51,33.23,4511,33.85,33.76,0.6200000000000045,816.28,-95320.38,-1389617.0,0.0,-645.295
l1l2,18,42,1194,1194,898.75,86.61,694,90.23,89.91,3.6200000000000045,812.14,-215046.52,-2894044.5,0.0,-592.0555
l1l2,50,42,861,861,965.82,42.03,361,64.5,60.45,22.47,923.7900000000001,-127178.08,-2544867.5,0.0,-93.7508
tt_only,1,42,780,780,857.6,23.17,280,36.38,34.54,13.21,834.4300000000001,0.0,0.0,7.7065,-1715.1299
tt_only,2,42,627,627,1049.11,82.74,127,108.41,103.43,25.67,966.3699999999999,0.0,0.0,7.5871,-691.2585
tt_only,5,42,589,589,585.55,119.34,89,221.52,216.23,102.18,466.2099999999999,0.0,0.0,6.7222,-438.3167
tt_only,6,42,1259,1259,637.11,58.35,759,64.76,64.32,6.410000000000004,578.76,0.0,0.0,7.8275,-738.6666
tt_only,8,42,697,697,559.24,78.07,197,93.45,85.56,15.38000000000001,481.17,0.0,0.0,7.2872,-357.3246
tt_only,10,42,551,551,725.02,150.02,51,243.93,235.61,93.91,575.0,0.0,0.0,6.6286,-679.4832
tt_only,15,42,893,893,784.59,62.74,393,70.58,69.62,7.839999999999996,721.85,0.0,0.0,7.7079,-839.6058
tt_only,16,42,706,706,644.27,92.7,206,126.37,123.71,33.67,551.5699999999999,0.0,0.0,6.7507,-619.7249
tt_only,18,42,1123,1123,639.44,10.15,623,28.05,27.43,17.9,629.2900000000001,0.0,0.0,8.2457,-509.5951
tt_only,50,42,806,806,542.43,36.86,306,57.26,55.34,20.4,505.56999999999994,0.0,0.0,7.2198,-35.6385
wasserstein,1,42,780,780,674.09,21.44,280,41.19,37.84,19.749999999999996,652.65,0.0,-154.59,0.0,-1753.5261
wasserstein,2,42,627,627,512.24,83.22,127,110.28,105.48,27.060000000000002,429.02,0.0,-224.04,0.0,-680.5244
wasserstein,5,42,645,645,413.86,110.41,145,205.36,187.87,94.95000000000002,303.45000000000005,0.0,-434.41,0.0,-424.0725
wasserstein,6,42,1183,1183,421.4,41.61,683,46.7,46.39,5.090000000000003,379.78999999999996,0.0,-104.75,0.0,-730.4531
wasserstein,8,42,4380,4380,212.26,47.61,3880,48.77,48.63,1.1600000000000037,164.64999999999998,0.0,-56.01,0.0,-169.2265
wasserstein,10,42,551,551,458.57,146.31,51,229.79,217.57,83.47999999999999,312.26,0.0,-577.69,0.0,-622.7493
wasserstein,15,42,4369,4369,254.86,22.81,3869,26.59,26.44,3.780000000000001,232.05,0.0,-22.5,0.0,-790.8951
wasserstein,16,42,706,706,446.25,89.79,206,123.68,122.2,33.89,356.46,0.0,-444.89,0.0,-618.3201
wasserstein,18,42,3160,3160,459.85,4.53,2660,6.43,6.12,1.8999999999999995,455.32000000000005,0.0,-28.58,0.0,-498.3163
wasserstein,50,42,793,793,607.18,51.24,293,114.59,114.59,63.35,555.9399999999999,0.0,-221.03,0.0,-92.1669
wasserstein_w2,1,42,757,757,674.09,25.76,257,36.83,34.51,11.069999999999997,648.33,0.0,-243.04,0.0,-1726.1509
wasserstein_w2,2,42,627,627,512.24,85.18,127,104.12,96.85,18.939999999999998,427.06,0.0,-293.41,0.0,-639.4571
wasserstein_w2,5,42,645,645,413.86,100.31,145,152.11,139.09,51.80000000000001,313.55,0.0,-452.55,0.0,-479.3008
wasserstein_w2,6,42,1183,1183,421.4,44.8,683,48.71,48.36,3.9100000000000037,376.59999999999997,0.0,-165.93,0.0,-729.078
wasserstein_w2,8,42,678,678,212.26,68.7,178,117.2,107.11,48.5,143.56,0.0,-373.21,0.0,-329.6543
wasserstein_w2,10,42,747,747,458.57,124.63,247,159.86,150.63,35.23000000000002,333.94,0.0,-401.37,0.0,-639.2273
wasserstein_w2,15,42,1327,1327,254.86,61.81,827,64.42,64.0,2.6099999999999994,193.05,0.0,-203.35,0.0,-825.1429
wasserstein_w2,16,42,706,706,446.25,89.12,206,107.75,107.42,18.629999999999995,357.13,0.0,-470.22,0.0,-636.8735
wasserstein_w2,18,42,1012,1012,459.85,7.44,512,36.81,35.26,29.37,452.41,0.0,-144.83,0.0,-493.724
wasserstein_w2,50,42,708,708,607.18,55.4,208,117.71,112.85,62.309999999999995,551.78,0.0,-531.52,0.0,-72.2689
ncc_zero,1,42,940,940,582.63,25.96,440,45.51,44.53,19.549999999999997,556.67,0.0,1.0,0.0,-1758.1819
ncc_zero,2,42,1236,1236,512.24,118.3,736,136.27,135.65,17.970000000000013,393.94,0.0,1.0,0.0,-778.0968
ncc_zero,5,42,1222,1222,413.86,113.97,722,120.44,119.75,6.469999999999999,299.89,0.0,1.0,0.0,-334.2271
ncc_zero,6,42,4110,4110,584.61,31.58,3610,32.36,32.28,0.7800000000000011,553.03,0.0,1.0,0.0,-725.59
ncc_zero,8,42,670,670,212.26,78.02,170,120.41,105.73,42.39,134.24,0.0,1.0,0.0,-394.2167
ncc_zero,10,42,644,644,458.57,186.66,144,213.91,209.06,27.25,271.90999999999997,0.0,0.99,0.0,-634.9886
ncc_zero,15,42,698,698,497.43,68.22,198,75.93,69.95,7.710000000000008,429.21000000000004,0.0,1.0,0.0,-938.8552
ncc_zero,16,42,5000,5000,547.74,56.35,4991,56.57,56.5,0.21999999999999886,491.39,0.0,1.0,0.0,-611.533
ncc_zero,18,42,989,989,459.85,37.21,489,48.44,48.27,11.229999999999997,422.64000000000004,0.0,1.0,0.0,-625.6863
ncc_zero,50,42,538,538,770.48,244.62,38,573.68,541.55,329.05999999999995,525.86,0.0,0.05,0.0,-433.5859
ncc_maxlag,1,42,780,780,674.09,22.48,280,38.41,36.68,15.929999999999996,651.61,0.0,1.0,0.0,-1735.964
ncc_maxlag,2,42,627,627,512.24,83.36,127,115.57,110.6,32.209999999999994,428.88,0.0,1.0,0.0,-698.6174
ncc_maxlag,5,42,645,645,413.86,114.55,145,207.38,191.49,92.83,299.31,0.0,0.99,0.0,-398.7211
ncc_maxlag,6,42,1236,1236,421.4,57.99,736,58.59,58.41,0.6000000000000014,363.40999999999997,0.0,1.0,0.0,-740.197
ncc_maxlag,8,42,670,670,212.26,74.29,170,110.09,97.98,35.8,137.96999999999997,0.0,1.0,0.0,-350.5663
ncc_maxlag,10,42,551,551,458.57,147.39,51,265.94,255.43,118.55000000000001,311.18,0.0,0.99,0.0,-730.446
ncc_maxlag,15,42,662,662,254.86,60.23,162,80.31,78.11,20.080000000000005,194.63000000000002,0.0,1.0,0.0,-864.6976
ncc_maxlag,16,42,706,706,445.61,93.9,206,153.72,153.4,59.81999999999999,351.71000000000004,0.0,0.99,0.0,-658.9714
ncc_maxlag,18,42,1182,1182,459.85,21.27,682,40.38,39.55,19.110000000000003,438.58000000000004,0.0,1.0,0.0,-517.0875
ncc_maxlag,50,42,793,793,607.18,56.98,293,107.66,104.13,50.68,550.1999999999999,0.0,1.0,0.0,-77.7499
envelope_ncc,1,42,933,933,674.09,22.95,433,37.39,36.33,14.440000000000001,651.14,0.0,1.0,0.0,-1723.79
envelope_ncc,2,42,627,627,512.24,85.26,127,122.31,115.99,37.05,426.98,0.0,1.0,0.0,-741.5988
envelope_ncc,5,42,645,645,413.86,118.44,145,167.43,158.4,48.99000000000001,295.42,0.0,1.0,0.0,-358.3034
envelope_ncc,6,42,1255,1255,421.4,47.96,755,50.96,50.41,3.0,373.44,0.0,1.0,0.0,-730.1815
envelope_ncc,8,42,678,678,212.26,73.58,178,87.84,85.03,14.260000000000005,138.68,0.0,1.0,0.0,-363.9005
envelope_ncc,10,42,551,551,458.57,146.66,51,241.54,232.47,94.88,311.90999999999997,0.0,1.0,0.0,-689.8582
envelope_ncc,15,42,662,662,254.86,64.33,162,83.86,81.19,19.53,190.53000000000003,0.0,1.0,0.0,-847.3711
envelope_ncc,16,42,668,668,446.25,100.11,168,116.24,113.54,16.129999999999995,346.14,0.0,1.0,0.0,-604.2758
envelope_ncc,18,42,1045,1045,459.85,22.58,545,50.81,50.0,28.230000000000004,437.27000000000004,0.0,1.0,0.0,-516.7358
envelope_ncc,50,42,708,708,542.43,62.3,208,132.77,128.69,70.47000000000001,480.12999999999994,0.0,1.0,0.0,-121.752
awi,1,42,780,780,674.09,23.65,280,51.35,48.57,27.700000000000003,650.44,0.0,-7.63,0.0,-1801.4102
awi,2,42,627,627,512.24,83.86,127,125.38,121.22,41.519999999999996,428.38,0.0,-7.55,0.0,-743.1055
awi,5,42,645,645,413.86,117.48,145,187.68,178.24,70.2,296.38,0.0,-7.62,0.0,-381.9542
awi,6,42,1236,1236,421.4,53.88,736,64.36,63.91,10.479999999999997,367.52,0.0,-7.56,0.0,-756.7827
awi,8,42,670,670,212.26,75.6,170,90.87,83.77,15.27000000000001,136.66,0.0,-7.58,0.0,-329.3066
awi,10,42,551,551,458.57,147.1,51,252.06,243.16,104.96000000000001,311.47,0.0,-7.69,0.0,-722.3981
awi,15,42,1322,1322,254.86,57.81,822,59.49,59.2,1.6799999999999997,197.05,0.0,-7.58,0.0,-899.9942
awi,16,42,706,706,446.25,95.66,206,128.88,123.54,33.22,350.59000000000003,0.0,-7.68,0.0,-632.611
awi,18,42,801,801,459.85,22.75,301,40.79,37.77,18.04,437.1,0.0,-7.54,0.0,-524.1838
awi,50,42,793,793,607.18,50.39,293,89.55,89.55,39.16,556.79,0.0,-7.61,0.0,-59.4439
